"day" "y"
1 4.11117894664153
2 8.12834147262986
3 3.89923387317812
4 3.16898414063805
5 17.1738950986174
6 8.61579437393826
7 14.9700792871501
8 7.77529032074664
9 8.61381683591451
10 9.21867587031044
11 13.1274436590339
12 6.77873255530596
13 7.53514732682584
14 3.78414027736467
15 24.5111775728448
16 15.1702859924705
17 3.49814132972914
18 15.1057770752338
19 14.9201490768222
20 5.94414386624998
21 7.06613843459019
22 5.24524802124173
23 4.11633605772708
24 12.3862963978169
25 5.17610487057002
26 6.790457688941
27 5.13393423365093
28 6.54793887503897
29 7.25455046428852
30 5.39610237339479
31 10.2094178044375
32 14.1595991359504
33 6.17883140100272
34 1.27911529837156
35 3.36765544139795
36 5.26899589840926
37 6.8099059276567
38 11.4333179305862
39 10.0951324229947
40 18.0004452573921
41 6.17663030015749
42 11.0140705595172
43 9.04076278695339
44 15.8232093529595
45 6.46220400536235
46 11.9595164805658
47 3.09759473601333
48 18.035415915694
49 5.69322466199732
50 7.05040774129705
