"day" "y"
1 5.71179748990351
2 2.53084707659718
3 4.01839831526252
4 8.57976610120054
5 6.79772254690153
6 12.1045735618945
7 5.61815991807397
8 3.0161820838987
9 6.77303417411271
10 10.3769781469149
11 5.44093995988195
12 9.74398755802068
13 16.1747349767023
14 5.42024353737183
15 7.58364546441663
16 2.47397915844165
17 2.52180114993607
18 4.38161105358604
19 7.52131712395764
20 5.16395989445806
21 2.71480516429345
22 6.54520550492498
23 3.77844946172911
24 5.30521704124865
25 5.26582474462054
26 6.01167272833025
27 1.91821515209567
28 3.16810051536771
29 2.808919513621
30 6.31387599448914
31 3.86005832576903
32 0.616064624083828
33 5.82933287151794
34 4.33877305996228
35 6.51138254002534
36 6.28623782586856
37 3.21741420619662
38 2.27944996840524
39 4.83461695326821
40 6.99010061467212
41 6.84865602289938
42 4.0123353543211
43 12.3000087317007
44 3.91316879693316
45 4.43816282586756
46 8.39003766813479
47 2.59308075409349
48 8.69954181106247
49 2.12639193835155
50 6.64243333873848
