"x" "y"
0 10.9861860916591
1 10.2788761415566
2 7.3905283992251
3 3.52042393571668
4 0.947733740895519
5 11.5565481674383
6 15.306314384873
7 13.3974398862182
8 22.9825983832759
9 2.7226946612881
10 1.12333726391687
11 27.6231028952164
12 30.6822998124369
13 63.9795742866216
14 69.0872188830241
15 97.2085321961997
16 126.675442536692
17 139.777743157083
18 167.512796050741
19 188.709505761701
20 182.23721591977
21 208.973347443401
22 198.768864409514
23 190.561087682658
24 201.153522091946
25 209.308663484522
26 208.676929950445
27 202.924035804202
28 201.494374564272
29 233.368738631215
30 196.652721329536
